,Symbol,Unnamed: 1,Price,Change %
0,S&P 500,,"6,084.19 +49.28 (+0.82%)",+0.82%
1,Dow 30,,"44,148.56 -99.27 (-0.22%)",-0.22%
2,Nasdaq,,"20,034.89 +347.65 (+1.77%)",+1.77%
3,Russell 2000,,"2,394.16 +11.38 (+0.48%)",+0.48%
4,VIX,,13.76 +0.18 (+1.33%),+1.33%
5,IBOVESPA,,"129,593.31 +1,364.82 (+1.06%)",+1.06%
6,S&P/TSX Composite index,,"25,657.70 +153.37 (+0.60%)",+0.60%
7,US Dollar Index,,106.59 -0.12 (-0.12%),-0.12%
