,종목명,현재가,전일대비,등락률
0,아이윈플러스,963,상한가 222,+29.96%
1,인벤티지랩,17350,"상한가 4,000",+29.96%
2,GH신소재,3450,상한가 795,+29.94%
3,CJ씨푸드1우,23650,"상한가 5,420",+29.73%
4,뱅크웨어글로벌,8850,"상승 1,600",+22.07%
5,나이벡,18270,"상승 2,610",+16.67%
6,효성오앤비,8720,"상승 1,240",+16.58%
7,큐로셀,31450,"상승 4,150",+15.20%
8,한국정밀기계,2580,상승 330,+14.67%
9,에이직랜드,30850,"상승 3,850",+14.26%
10,SG글로벌,3730,상승 465,+14.24%
11,오리엔트바이오,1320,상승 160,+13.79%
12,대한광통신,966,상승 115,+13.51%
13,쓰리빌리언,6770,상승 770,+12.83%
14,효성,52900,"상승 5,950",+12.67%
